epoch,time(s),train_loss,test_loss,test_error(%)
001,00066,4.706119,0.98735,22.96
002,00061,1.572543,0.30339,8.36
003,00061,1.005590,0.27619,7.77
004,00061,8.210893,2.18820,51.65
005,00061,1.254539,0.32712,8.27
006,00061,1.278024,0.30288,7.40
007,00061,1.289493,0.25078,6.68
008,00061,2.112265,0.38198,8.98
009,00061,1.179246,0.24702,6.17
010,00061,1.174455,0.24833,5.91
011,00061,0.881732,0.23976,5.68
012,00061,0.809984,0.23373,5.68
013,00061,1.223605,0.23754,5.61
014,00061,0.902115,0.23819,5.61
015,00061,0.921860,0.23274,5.56
