epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,3.695048,3.83140,89.49
002,00038,3.267942,3.31756,81.78
003,00038,2.767811,2.88301,71.82
004,00038,2.426686,2.54446,66.56
005,00038,2.217268,2.50917,64.00
006,00038,2.005337,2.24776,58.63
007,00038,1.999332,2.00852,54.98
008,00038,1.839869,2.16596,57.48
009,00038,1.810660,2.39972,59.24
010,00038,1.739863,1.88715,51.20
011,00038,1.733508,1.94408,52.65
012,00038,1.713779,1.81418,49.19
013,00038,1.570895,1.74751,48.01
014,00038,1.627217,1.82990,48.21
015,00038,1.612356,1.80641,48.72
016,00038,1.431074,1.75004,47.21
017,00038,1.537288,1.84646,50.12
018,00038,1.411973,1.77736,47.89
019,00038,1.552096,1.66644,45.66
020,00038,1.537054,1.74208,46.60
021,00038,1.451976,1.57519,44.14
022,00038,1.462932,1.66634,46.14
023,00038,1.439843,1.62728,44.33
024,00038,1.401631,1.62093,44.35
025,00038,1.442979,1.66905,45.68
026,00038,1.296138,1.47428,42.11
027,00038,1.352978,1.57315,43.50
028,00038,1.384118,1.76253,46.46
029,00038,1.287155,1.62260,43.35
030,00038,1.352792,1.58391,43.96
031,00038,1.225182,1.57789,43.41
032,00038,1.333780,1.56226,41.52
033,00038,1.254639,1.77269,46.79
034,00038,1.316363,1.56132,42.61
035,00038,1.268392,1.49294,41.27
036,00038,1.224795,1.66509,43.81
037,00038,1.243630,1.46978,40.09
038,00038,1.320069,1.68556,44.44
039,00038,1.354928,1.41947,39.50
040,00038,1.213880,1.44762,39.65
041,00038,1.233660,1.39116,38.03
042,00038,1.208430,1.42573,39.53
043,00038,1.126247,1.36357,37.49
044,00038,1.146275,1.40533,38.53
045,00038,1.113240,1.41933,39.02
046,00038,1.155856,1.40222,39.08
047,00038,1.161413,1.53046,40.45
048,00038,1.078149,1.40509,38.01
049,00038,1.039761,1.43269,37.87
050,00038,1.055907,1.33075,36.84
051,00038,1.064697,1.21698,33.89
052,00038,1.002653,1.44509,39.55
053,00038,1.056576,1.35116,36.90
054,00038,1.047949,1.29566,35.82
055,00038,0.921825,1.34121,36.54
056,00038,1.013941,1.30471,34.65
057,00038,0.997275,1.29608,35.37
058,00038,0.971193,1.16619,32.42
059,00038,0.936324,1.25474,34.66
060,00038,0.909725,1.21039,33.48
061,00038,0.786417,1.30015,34.53
062,00038,0.830752,1.20167,32.65
063,00038,0.861451,1.17681,32.30
064,00038,0.859989,1.17887,32.04
065,00038,0.824593,1.11516,31.62
066,00038,0.791483,1.14158,31.93
067,00038,0.888672,1.11579,30.74
068,00038,0.753703,1.13809,31.17
069,00038,0.680034,1.10766,30.20
070,00038,0.745419,1.08288,29.91
071,00038,0.672924,1.12030,30.10
072,00038,0.725050,1.06710,29.57
073,00038,0.679132,1.09601,28.96
074,00038,0.609489,1.07077,29.12
075,00038,0.560337,1.04501,28.03
076,00038,0.603397,1.04146,27.99
077,00038,0.572862,1.03337,27.62
078,00038,0.486493,1.03972,27.67
079,00038,0.519795,1.03828,27.66
080,00038,0.487535,1.06897,27.87
081,00038,0.442816,1.01884,27.08
082,00038,0.431918,1.01959,26.84
083,00038,0.414091,1.01314,27.00
084,00038,0.390455,0.99476,25.97
085,00038,0.322426,0.99528,25.85
086,00038,0.294203,0.97967,25.29
087,00038,0.288983,0.97829,24.97
088,00038,0.246888,0.98069,24.71
089,00038,0.285584,0.96210,24.62
090,00038,0.247012,0.97315,24.82
091,00038,0.190540,0.96723,24.41
092,00038,0.177965,0.96545,24.52
093,00038,0.200242,0.95707,24.22
094,00038,0.175171,0.96062,24.43
095,00038,0.185646,0.96804,24.23
096,00038,0.178617,0.96692,24.28
097,00038,0.152970,0.96344,24.11
098,00038,0.157620,0.96522,24.11
099,00038,0.162195,0.96270,24.11
100,00038,0.158488,0.96695,24.27
