epoch,time(s),train_loss,test_loss,test_error(%)
001,00207,1.954569,1.15630,23.59
002,00203,1.554336,0.69602,15.59
003,00204,1.204446,0.46659,12.25
004,00204,1.277601,0.50846,11.87
005,00204,1.005105,0.50212,11.58
006,00203,0.846865,0.39859,9.51
007,00204,0.866244,0.41241,9.93
008,00204,1.100868,0.38260,9.67
009,00203,0.561541,0.35942,9.24
010,00204,0.605814,0.33006,7.93
011,00203,0.530788,0.30105,7.72
012,00204,0.494602,0.28522,7.17
013,00204,0.415219,0.26109,6.50
014,00204,0.478789,0.25336,6.63
015,00203,0.380098,0.24571,6.28
016,00204,0.310490,0.23991,6.15
017,00203,0.357124,0.22662,6.00
018,00203,0.336338,0.23850,5.68
019,00204,0.191558,0.23231,5.66
020,00204,0.244621,0.24624,5.92
021,00204,0.240002,0.23705,5.56
022,00204,0.210742,0.23941,5.57
023,00204,0.287187,0.24224,5.47
024,00204,0.173121,0.24964,5.40
025,00204,0.255994,0.25042,5.47
026,00204,0.108424,0.25398,5.45
027,00204,0.155806,0.26594,5.54
028,00204,0.184871,0.25628,5.43
029,00204,0.187241,0.25792,5.49
030,00204,0.123958,0.26367,5.40
