epoch,time(s),train_loss,test_loss,test_error(%)
001,00362,0.099621,0.19687,5.31
002,00367,0.116850,0.17918,4.81
003,00367,0.106043,0.15703,4.30
004,00370,0.074451,0.12439,3.26
005,00384,0.075336,0.11593,2.97
006,00378,0.097644,0.11969,3.10
007,00370,0.061653,0.12931,3.34
008,00380,0.063109,0.10675,2.66
009,00388,0.062813,0.09816,2.39
010,00372,0.062641,0.09687,2.40
011,00357,0.046376,0.09073,2.27
012,00356,0.040773,0.08653,2.11
013,00357,0.042794,0.08938,2.23
001,00371,0.092454,0.18828,5.12
002,00369,0.111854,0.24376,7.00
003,00368,0.100084,0.15612,4.26
004,00369,0.072268,0.13133,3.46
005,00369,0.065877,0.11486,2.85
006,00368,0.110107,0.12189,3.23
007,00369,0.060007,0.13391,3.57
008,00368,0.065712,0.10215,2.60
009,00369,0.059115,0.09982,2.47
010,00378,0.075220,0.11010,2.77
011,00379,0.061888,0.09052,2.20
012,00372,0.043968,0.08783,2.17
013,00368,0.047716,0.08872,2.18
014,00367,0.051279,0.08087,1.96
015,00366,0.053962,0.07982,1.94
016,00367,0.053133,0.07975,1.85
017,00369,0.035669,0.07683,1.77
018,00374,0.050392,0.07557,1.70
019,00374,0.025727,0.07609,1.70
020,00383,0.045577,0.07539,1.67
