epoch,time(s),train_loss,test_loss,test_error(%)
001,00368,1.023173,0.39552,10.75
002,00366,1.189090,0.35805,9.36
003,00366,0.756267,0.33037,8.28
004,00366,1.089680,0.29006,7.57
005,00366,0.734736,0.27318,7.15
006,00366,0.427373,0.30505,8.15
007,00366,0.599010,0.27644,6.87
008,00366,0.706404,0.26293,6.94
009,00366,0.501444,0.26311,6.58
010,00367,0.648957,0.25477,6.51
011,00366,0.564666,0.24853,6.55
012,00366,0.421079,0.24562,6.34
013,00366,0.664147,0.24794,6.49
014,00367,0.294365,0.24690,6.50
015,00367,0.440384,0.24615,6.30
